water_body_id,area_m2,avg_lat,avg_lon,num_points
127,1005715.618,25.723833639142462,74.12970411466114,723
243,5488658.719,25.695260341156803,74.26384975439652,2991
254,950835.2172,25.674370377603427,74.67239813338088,701
262,7834922.077,25.68343089985891,74.5767767470194,2835
268,1398788.499,25.668563542037738,74.70301988875471,1325
346,1692693.804,25.625994957558685,74.07405972629108,1065
351,1293359.407,25.625229964411364,74.26268722016238,739
449,1325414.652,25.58565007864644,74.6277676311552,857
498,1541325.533,25.563587121418234,74.86256765397974,691
522,7008588.801,25.56168869030303,74.89870535377777,2475
578,1614389.784,25.53048522146558,75.05788346373058,1351
606,909017.4059,25.513144728764654,74.03797951361587,1109
739,4050041.756,25.45528919080174,74.55483783548789,1609
769,1029807.06,25.438233098015434,74.74403666582138,907
774,4078852.283,25.440655486769646,74.8985375794493,1489
853,1435974.506,25.409483284244374,74.54505462443728,933
865,1239024.334,25.40683003471252,74.06948899108006,1861
886,2034837.447,25.39990204142973,74.38637106515029,1231
955,17841994.04,25.38534995360758,74.49851920366143,4643
1061,155924.5579,25.31383577025496,74.93634383342777,353
1091,5692151.689,25.30778419654293,74.97208501303487,3529
1152,2189894.718,25.261657866228514,74.46512178665319,989
1172,2666135.149,25.257182150547326,74.61701696471346,1553
