fid,DN,area_m2,distance,angle,Latitude,Longitude,geometry
127,1,1005715.618,750.0,45.0,25.7275531,74.130394,POINT (412770 2845800)
127,1,1005715.618,760.0,45.0,25.7275537,74.1304937,POINT (412780 2845800)
127,1,1005715.618,770.0,315.0,25.727644,74.1304931,POINT (412780 2845810)
127,1,1005715.618,780.0,315.0,25.7276434,74.1303934,POINT (412770 2845810)
127,1,1005715.618,790.0,45.0,25.7277337,74.1303927,POINT (412770 2845820)
127,1,1005715.618,800.0,45.0,25.7277342,74.1304924,POINT (412780 2845820)
127,1,1005715.618,810.0,0.0,25.7278245,74.1304917,POINT (412780 2845830)
127,1,1005715.618,820.0,45.0,25.7279148,74.1304911,POINT (412780 2845840)
127,1,1005715.618,830.0,45.0,25.7279154,74.1305908,POINT (412790 2845840)
127,1,1005715.618,840.0,45.0,25.7280057,74.1305901,POINT (412790 2845850)
127,1,1005715.618,850.0,45.0,25.7280063,74.1306898,POINT (412800 2845850)
127,1,1005715.618,860.0,45.0,25.7280966,74.1306891,POINT (412800 2845860)
127,1,1005715.618,870.0,90.0,25.7280972,74.1307888,POINT (412810 2845860)
127,1,1005715.618,880.0,45.0,25.7280978,74.1308885,POINT (412820 2845860)
127,1,1005715.618,890.0,45.0,25.7281881,74.1308878,POINT (412820 2845870)
127,1,1005715.618,900.0,90.0,25.7281887,74.1309875,POINT (412830 2845870)
127,1,1005715.618,910.0,45.0,25.7281893,74.1310872,POINT (412840 2845870)
127,1,1005715.618,920.0,45.0,25.7282796,74.1310866,POINT (412840 2845880)
127,1,1005715.618,930.0,135.0,25.7282802,74.1311862,POINT (412850 2845880)
127,1,1005715.618,940.0,135.0,25.7281899,74.1311869,POINT (412850 2845870)
127,1,1005715.618,950.0,90.0,25.7281905,74.1312866,POINT (412860 2845870)
127,1,1005715.618,960.0,90.0,25.7281911,74.1313863,POINT (412870 2845870)
127,1,1005715.618,970.0,90.0,25.7281917,74.1314859,POINT (412880 2845870)
127,1,1005715.618,980.0,90.0,25.7281922,74.1315856,POINT (412890 2845870)
127,1,1005715.618,990.0,135.0,25.7281928,74.1316853,POINT (412900 2845870)
127,1,1005715.618,1000.0,135.0,25.7281025,74.131686,POINT (412900 2845860)
127,1,1005715.618,1010.0,90.0,25.7281031,74.1317856,POINT (412910 2845860)
127,1,1005715.618,1020.0,135.0,25.7281037,74.1318853,POINT (412920 2845860)
127,1,1005715.618,1030.0,135.0,25.7280134,74.131886,POINT (412920 2845850)
127,1,1005715.618,1040.0,90.0,25.728014,74.1319857,POINT (412930 2845850)
127,1,1005715.618,1050.0,90.0,25.7280146,74.1320853,POINT (412940 2845850)
127,1,1005715.618,1060.0,90.0,25.7280152,74.132185,POINT (412950 2845850)
127,1,1005715.618,1070.0,135.0,25.7280158,74.1322847,POINT (412960 2845850)
127,1,1005715.618,1080.0,135.0,25.7279255,74.1322854,POINT (412960 2845840)
127,1,1005715.618,1090.0,90.0,25.7279261,74.132385,POINT (412970 2845840)
127,1,1005715.618,1100.0,135.0,25.7279267,74.1324847,POINT (412980 2845840)
127,1,1005715.618,1110.0,135.0,25.7278364,74.1324854,POINT (412980 2845830)
127,1,1005715.618,1120.0,135.0,25.727837,74.1325851,POINT (412990 2845830)
127,1,1005715.618,1130.0,135.0,25.7277467,74.1325857,POINT (412990 2845820)
127,1,1005715.618,1140.0,135.0,25.7277473,74.1326854,POINT (413000 2845820)
127,1,1005715.618,1150.0,135.0,25.727657,74.1326861,POINT (413000 2845810)
127,1,1005715.618,1160.0,90.0,25.7276576,74.1327857,POINT (413010 2845810)
127,1,1005715.618,1170.0,135.0,25.7276582,74.1328854,POINT (413020 2845810)
127,1,1005715.618,1180.0,180.0,25.7275679,74.1328861,POINT (413020 2845800)
127,1,1005715.618,1190.0,135.0,25.7274776,74.1328867,POINT (413020 2845790)
127,1,1005715.618,1200.0,90.0,25.7274782,74.1329864,POINT (413030 2845790)
127,1,1005715.618,1210.0,45.0,25.7274788,74.1330861,POINT (413040 2845790)
127,1,1005715.618,1220.0,45.0,25.7275691,74.1330854,POINT (413040 2845800)
127,1,1005715.618,1230.0,90.0,25.7275697,74.1331851,POINT (413050 2845800)
127,1,1005715.618,1240.0,45.0,25.7275703,74.1332848,POINT (413060 2845800)
127,1,1005715.618,1250.0,45.0,25.7276606,74.1332842,POINT (413060 2845810)
127,1,1005715.618,1260.0,90.0,25.7276612,74.1333838,POINT (413070 2845810)
127,1,1005715.618,1270.0,90.0,25.7276618,74.1334835,POINT (413080 2845810)
127,1,1005715.618,1280.0,90.0,25.7276624,74.1335832,POINT (413090 2845810)
127,1,1005715.618,1290.0,135.0,25.727663,74.1336829,POINT (413100 2845810)
127,1,1005715.618,1300.0,135.0,25.7275727,74.1336835,POINT (413100 2845800)
127,1,1005715.618,1310.0,90.0,25.7275733,74.1337832,POINT (413110 2845800)
127,1,1005715.618,1320.0,90.0,25.7275739,74.1338829,POINT (413120 2845800)
127,1,1005715.618,1330.0,135.0,25.7275744,74.1339826,POINT (413130 2845800)
127,1,1005715.618,1340.0,135.0,25.7274842,74.1339832,POINT (413130 2845790)
127,1,1005715.618,1350.0,90.0,25.7274847,74.1340829,POINT (413140 2845790)
127,1,1005715.618,1360.0,135.0,25.7274853,74.1341826,POINT (413150 2845790)
127,1,1005715.618,1370.0,135.0,25.727395,74.1341833,POINT (413150 2845780)
127,1,1005715.618,1380.0,90.0,25.7273956,74.1342829,POINT (413160 2845780)
127,1,1005715.618,1390.0,135.0,25.7273962,74.1343826,POINT (413170 2845780)
127,1,1005715.618,1400.0,135.0,25.7273059,74.1343833,POINT (413170 2845770)
127,1,1005715.618,1410.0,135.0,25.7273065,74.134483,POINT (413180 2845770)
127,1,1005715.618,1420.0,135.0,25.7272162,74.1344836,POINT (413180 2845760)
127,1,1005715.618,1430.0,90.0,25.7272168,74.1345833,POINT (413190 2845760)
127,1,1005715.618,1440.0,135.0,25.7272174,74.134683,POINT (413200 2845760)
127,1,1005715.618,1450.0,135.0,25.7271271,74.1346836,POINT (413200 2845750)
127,1,1005715.618,1460.0,135.0,25.7271277,74.1347833,POINT (413210 2845750)
127,1,1005715.618,1470.0,135.0,25.7270374,74.134784,POINT (413210 2845740)
127,1,1005715.618,1480.0,90.0,25.727038,74.1348836,POINT (413220 2845740)
127,1,1005715.618,1490.0,135.0,25.7270386,74.1349833,POINT (413230 2845740)
127,1,1005715.618,1500.0,135.0,25.7269483,74.134984,POINT (413230 2845730)
127,1,1005715.618,1510.0,90.0,25.7269489,74.1350837,POINT (413240 2845730)
127,1,1005715.618,1520.0,135.0,25.7269495,74.1351833,POINT (413250 2845730)
127,1,1005715.618,1530.0,135.0,25.7268592,74.135184,POINT (413250 2845720)
127,1,1005715.618,1540.0,90.0,25.7268598,74.1352837,POINT (413260 2845720)
127,1,1005715.618,1550.0,135.0,25.7268604,74.1353834,POINT (413270 2845720)
127,1,1005715.618,1560.0,135.0,25.7267701,74.135384,POINT (413270 2845710)
127,1,1005715.618,1570.0,135.0,25.7267707,74.1354837,POINT (413280 2845710)
127,1,1005715.618,1580.0,135.0,25.7266804,74.1354843,POINT (413280 2845700)
127,1,1005715.618,1590.0,135.0,25.726681,74.135584,POINT (413290 2845700)
127,1,1005715.618,1600.0,135.0,25.7265907,74.1355847,POINT (413290 2845690)
127,1,1005715.618,1610.0,135.0,25.7265913,74.1356844,POINT (413300 2845690)
127,1,1005715.618,1620.0,135.0,25.726501,74.135685,POINT (413300 2845680)
127,1,1005715.618,1630.0,135.0,25.7265016,74.1357847,POINT (413310 2845680)
127,1,1005715.618,1640.0,180.0,25.7264113,74.1357853,POINT (413310 2845670)
127,1,1005715.618,1650.0,135.0,25.726321,74.135786,POINT (413310 2845660)
127,1,1005715.618,1660.0,135.0,25.7263216,74.1358857,POINT (413320 2845660)
127,1,1005715.618,1670.0,180.0,25.7262313,74.1358863,POINT (413320 2845650)
127,1,1005715.618,1680.0,135.0,25.726141,74.135887,POINT (413320 2845640)
127,1,1005715.618,1690.0,135.0,25.7261416,74.1359867,POINT (413330 2845640)
127,1,1005715.618,1700.0,180.0,25.7260513,74.1359873,POINT (413330 2845630)
127,1,1005715.618,1710.0,180.0,25.725961,74.135988,POINT (413330 2845620)
127,1,1005715.618,1720.0,135.0,25.7258707,74.1359886,POINT (413330 2845610)
127,1,1005715.618,1730.0,135.0,25.7258713,74.1360883,POINT (413340 2845610)
127,1,1005715.618,1740.0,180.0,25.725781,74.136089,POINT (413340 2845600)
127,1,1005715.618,1750.0,180.0,25.7256907,74.1360896,POINT (413340 2845590)
127,1,1005715.618,1760.0,135.0,25.7256005,74.1360903,POINT (413340 2845580)
127,1,1005715.618,1770.0,135.0,25.725601,74.1361899,POINT (413350 2845580)
127,1,1005715.618,1780.0,180.0,25.7255108,74.1361906,POINT (413350 2845570)
127,1,1005715.618,1790.0,180.0,25.7254205,74.1361912,POINT (413350 2845560)
127,1,1005715.618,1800.0,135.0,25.7253302,74.1361919,POINT (413350 2845550)
127,1,1005715.618,1810.0,135.0,25.7253308,74.1362916,POINT (413360 2845550)
127,1,1005715.618,1820.0,180.0,25.7252405,74.1362922,POINT (413360 2845540)
127,1,1005715.618,1830.0,135.0,25.7251502,74.1362929,POINT (413360 2845530)
127,1,1005715.618,1840.0,135.0,25.7251508,74.1363926,POINT (413370 2845530)
127,1,1005715.618,1850.0,180.0,25.7250605,74.1363932,POINT (413370 2845520)
127,1,1005715.618,1860.0,135.0,25.7249702,74.1363939,POINT (413370 2845510)
127,1,1005715.618,1870.0,135.0,25.7249708,74.1364936,POINT (413380 2845510)
127,1,1005715.618,1880.0,180.0,25.7248805,74.1364942,POINT (413380 2845500)
127,1,1005715.618,1890.0,135.0,25.7247902,74.1364949,POINT (413380 2845490)
127,1,1005715.618,1900.0,135.0,25.7247908,74.1365945,POINT (413390 2845490)
127,1,1005715.618,1910.0,180.0,25.7247005,74.1365952,POINT (413390 2845480)
127,1,1005715.618,1920.0,180.0,25.7246102,74.1365958,POINT (413390 2845470)
127,1,1005715.618,1930.0,180.0,25.7245199,74.1365965,POINT (413390 2845460)
127,1,1005715.618,1940.0,135.0,25.7244296,74.1365971,POINT (413390 2845450)
127,1,1005715.618,1950.0,135.0,25.7244302,74.1366968,POINT (413400 2845450)
127,1,1005715.618,1960.0,180.0,25.7243399,74.1366975,POINT (413400 2845440)
127,1,1005715.618,1970.0,135.0,25.7242496,74.1366981,POINT (413400 2845430)
127,1,1005715.618,1980.0,135.0,25.7242502,74.1367978,POINT (413410 2845430)
127,1,1005715.618,1990.0,180.0,25.7241599,74.1367985,POINT (413410 2845420)
127,1,1005715.618,2000.0,180.0,25.7240696,74.1367991,POINT (413410 2845410)
127,1,1005715.618,2010.0,135.0,25.7239793,74.1367998,POINT (413410 2845400)
127,1,1005715.618,2020.0,135.0,25.7239799,74.1368994,POINT (413420 2845400)
127,1,1005715.618,2030.0,180.0,25.7238896,74.1369001,POINT (413420 2845390)
127,1,1005715.618,2040.0,180.0,25.7237993,74.1369007,POINT (413420 2845380)
127,1,1005715.618,2050.0,180.0,25.7237091,74.1369014,POINT (413420 2845370)
127,1,1005715.618,2060.0,135.0,25.7236188,74.136902,POINT (413420 2845360)
127,1,1005715.618,2070.0,135.0,25.7236194,74.1370017,POINT (413430 2845360)
127,1,1005715.618,2080.0,180.0,25.7235291,74.1370024,POINT (413430 2845350)
127,1,1005715.618,2090.0,135.0,25.7234388,74.137003,POINT (413430 2845340)
127,1,1005715.618,2100.0,90.0,25.7234394,74.1371027,POINT (413440 2845340)
127,1,1005715.618,2110.0,45.0,25.7234399,74.1372024,POINT (413450 2845340)
127,1,1005715.618,2120.0,45.0,25.7235302,74.1372017,POINT (413450 2845350)
127,1,1005715.618,2130.0,90.0,25.7235308,74.1373014,POINT (413460 2845350)
127,1,1005715.618,2140.0,90.0,25.7235314,74.1374011,POINT (413470 2845350)
127,1,1005715.618,2150.0,135.0,25.723532,74.1375008,POINT (413480 2845350)
127,1,1005715.618,2160.0,135.0,25.7234417,74.1375014,POINT (413480 2845340)
127,1,1005715.618,2170.0,90.0,25.7234423,74.1376011,POINT (413490 2845340)
127,1,1005715.618,2180.0,135.0,25.7234429,74.1377008,POINT (413500 2845340)
127,1,1005715.618,2190.0,180.0,25.7233526,74.1377014,POINT (413500 2845330)
127,1,1005715.618,2200.0,135.0,25.7232623,74.1377021,POINT (413500 2845320)
127,1,1005715.618,2210.0,135.0,25.7232629,74.1378018,POINT (413510 2845320)
127,1,1005715.618,2220.0,180.0,25.7231726,74.1378024,POINT (413510 2845310)
127,1,1005715.618,2230.0,180.0,25.7230823,74.1378031,POINT (413510 2845300)
127,1,1005715.618,2240.0,225.0,25.722992,74.1378037,POINT (413510 2845290)
127,1,1005715.618,2250.0,225.0,25.7229914,74.137704,POINT (413500 2845290)
127,1,1005715.618,2260.0,180.0,25.7229011,74.1377047,POINT (413500 2845280)
127,1,1005715.618,2270.0,225.0,25.7228109,74.1377053,POINT (413500 2845270)
127,1,1005715.618,2280.0,225.0,25.7228103,74.1376057,POINT (413490 2845270)
127,1,1005715.618,2290.0,180.0,25.72272,74.1376063,POINT (413490 2845260)
127,1,1005715.618,2300.0,225.0,25.7226297,74.137607,POINT (413490 2845250)
127,1,1005715.618,2310.0,225.0,25.7226291,74.1375073,POINT (413480 2845250)
127,1,1005715.618,2320.0,180.0,25.7225388,74.1375079,POINT (413480 2845240)
127,1,1005715.618,2330.0,180.0,25.7224485,74.1375086,POINT (413480 2845230)
127,1,1005715.618,2340.0,225.0,25.7223582,74.1375092,POINT (413480 2845220)
127,1,1005715.618,2350.0,225.0,25.7223576,74.1374096,POINT (413470 2845220)
127,1,1005715.618,2360.0,180.0,25.7222673,74.1374102,POINT (413470 2845210)
127,1,1005715.618,2370.0,225.0,25.722177,74.1374109,POINT (413470 2845200)
127,1,1005715.618,2380.0,225.0,25.7221765,74.1373112,POINT (413460 2845200)
127,1,1005715.618,2390.0,225.0,25.7220862,74.1373118,POINT (413460 2845190)
127,1,1005715.618,2400.0,225.0,25.7220856,74.1372122,POINT (413450 2845190)
127,1,1005715.618,2410.0,225.0,25.7219953,74.1372128,POINT (413450 2845180)
127,1,1005715.618,2420.0,270.0,25.7219947,74.1371131,POINT (413440 2845180)
127,1,1005715.618,2430.0,225.0,25.7219941,74.1370135,POINT (413430 2845180)
127,1,1005715.618,2440.0,225.0,25.7219038,74.1370141,POINT (413430 2845170)
127,1,1005715.618,2450.0,270.0,25.7219032,74.1369144,POINT (413420 2845170)
127,1,1005715.618,2460.0,225.0,25.7219026,74.1368148,POINT (413410 2845170)
127,1,1005715.618,2470.0,135.0,25.7218123,74.1368154,POINT (413410 2845160)
127,1,1005715.618,2480.0,135.0,25.7218129,74.1369151,POINT (413420 2845160)
127,1,1005715.618,2490.0,180.0,25.7217226,74.1369157,POINT (413420 2845150)
127,1,1005715.618,2500.0,180.0,25.7216323,74.1369164,POINT (413420 2845140)
127,1,1005715.618,2510.0,225.0,25.7215421,74.136917,POINT (413420 2845130)
127,1,1005715.618,2520.0,225.0,25.7215415,74.1368174,POINT (413410 2845130)
127,1,1005715.618,2530.0,180.0,25.7214512,74.136818,POINT (413410 2845120)
127,1,1005715.618,2540.0,225.0,25.7213609,74.1368187,POINT (413410 2845110)
127,1,1005715.618,2550.0,225.0,25.7213603,74.136719,POINT (413400 2845110)
127,1,1005715.618,2560.0,225.0,25.72127,74.1367196,POINT (413400 2845100)
127,1,1005715.618,2570.0,225.0,25.7212694,74.13662,POINT (413390 2845100)
127,1,1005715.618,2580.0,225.0,25.7211791,74.1366206,POINT (413390 2845090)
127,1,1005715.618,2590.0,225.0,25.7211785,74.1365209,POINT (413380 2845090)
127,1,1005715.618,2600.0,180.0,25.7210882,74.1365216,POINT (413380 2845080)
127,1,1005715.618,2610.0,180.0,25.7209979,74.1365222,POINT (413380 2845070)
127,1,1005715.618,2620.0,180.0,25.7209076,74.1365229,POINT (413380 2845060)
127,1,1005715.618,2630.0,180.0,25.7208174,74.1365235,POINT (413380 2845050)
127,1,1005715.618,2640.0,180.0,25.7207271,74.1365242,POINT (413380 2845040)
127,1,1005715.618,2650.0,180.0,25.7206368,74.1365248,POINT (413380 2845030)
127,1,1005715.618,2660.0,180.0,25.7205465,74.1365255,POINT (413380 2845020)
